ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-02-05,46768583.320423834,42891161.727569066,52629596.725737095,46768583.320423834,46768583.320423834,772977.9097981664,772977.9097981664,772977.9097981664,772977.9097981664,772977.9097981664,772977.9097981664,0.0,0.0,0.0,47541561.230222
2010-02-12,46777149.503243186,42775277.05789402,53013926.25468392,46777149.503243186,46777149.503243186,1394303.496073976,1394303.496073976,1394303.496073976,1394303.496073976,1394303.496073976,1394303.496073976,0.0,0.0,0.0,48171452.99931716
2010-02-19,46785715.68606254,41949841.003124095,51426800.59365632,46785715.68606254,46785715.68606254,15558.888483490835,15558.888483490835,15558.888483490835,15558.888483490835,15558.888483490835,15558.888483490835,0.0,0.0,0.0,46801274.57454603
2010-02-26,46794281.86888189,41109603.838519804,50803964.040994756,46794281.86888189,46794281.86888189,-1079763.1921357266,-1079763.1921357266,-1079763.1921357266,-1079763.1921357266,-1079763.1921357266,-1079763.1921357266,0.0,0.0,0.0,45714518.67674616
2010-03-05,46802848.05170125,40730159.674403846,50635691.7411208,46802848.05170125,46802848.05170125,-1273312.1727022333,-1273312.1727022333,-1273312.1727022333,-1273312.1727022333,-1273312.1727022333,-1273312.1727022333,0.0,0.0,0.0,45529535.87899902
2010-03-12,46811414.21393914,40708670.461474136,50114249.03527072,46811414.21393914,46811414.21393914,-1424425.908416219,-1424425.908416219,-1424425.908416219,-1424425.908416219,-1424425.908416219,-1424425.908416219,0.0,0.0,0.0,45386988.30552292
2010-03-19,46819980.376177035,40240108.8235963,49560076.86980712,46819980.376177035,46819980.376177035,-1957127.0819645927,-1957127.0819645927,-1957127.0819645927,-1957127.0819645927,-1957127.0819645927,-1957127.0819645927,0.0,0.0,0.0,44862853.294212446
2010-03-26,46828546.538414925,40131994.01951544,49539789.27978407,46828546.538414925,46828546.538414925,-2099884.0903331973,-2099884.0903331973,-2099884.0903331973,-2099884.0903331973,-2099884.0903331973,-2099884.0903331973,0.0,0.0,0.0,44728662.44808173
2010-04-02,46837112.691905834,40943706.35472954,50593814.96635463,46837112.691905834,46837112.691905834,-1152773.8851520743,-1152773.8851520743,-1152773.8851520743,-1152773.8851520743,-1152773.8851520743,-1152773.8851520743,0.0,0.0,0.0,45684338.80675376
2010-04-09,46845678.84539675,42094412.444187,51806424.21152999,46845678.84539675,46845678.84539675,198167.59531481803,198167.59531481803,198167.59531481803,198167.59531481803,198167.59531481803,198167.59531481803,0.0,0.0,0.0,47043846.440711565
2010-04-16,46854244.99888766,42561902.8265447,52216909.245667964,46854244.99888766,46854244.99888766,476918.1484076413,476918.1484076413,476918.1484076413,476918.1484076413,476918.1484076413,476918.1484076413,0.0,0.0,0.0,47331163.147295296
2010-04-23,46862811.15237857,41499503.80056644,50433388.07088807,46862811.15237857,46862811.15237857,-770111.3622446879,-770111.3622446879,-770111.3622446879,-770111.3622446879,-770111.3622446879,-770111.3622446879,0.0,0.0,0.0,46092699.79013388
2010-04-30,46871377.3079984,39098037.9784491,49477950.86557619,46871377.3079984,46871377.3079984,-2308276.494199837,-2308276.494199837,-2308276.494199837,-2308276.494199837,-2308276.494199837,-2308276.494199837,0.0,0.0,0.0,44563100.81379856
2010-05-07,46879943.46361823,39369046.68113673,49068522.47878383,46879943.46361823,46879943.46361823,-2593528.3170850277,-2593528.3170850277,-2593528.3170850277,-2593528.3170850277,-2593528.3170850277,-2593528.3170850277,0.0,0.0,0.0,44286415.1465332
2010-05-14,46888509.619238056,40238336.23792016,50079622.234132625,46888509.619238056,46888509.619238056,-1484790.60814207,-1484790.60814207,-1484790.60814207,-1484790.60814207,-1484790.60814207,-1484790.60814207,0.0,0.0,0.0,45403719.011095986
2010-05-21,46897075.77767581,41862960.17087291,51708059.54852589,46897075.77767581,46897075.77767581,-213214.22614291534,-213214.22614291534,-213214.22614291534,-213214.22614291534,-213214.22614291534,-213214.22614291534,0.0,0.0,0.0,46683861.551532894
2010-05-28,46905641.93611356,41834449.70965252,52122880.14056449,46905641.93611356,46905641.93611356,209653.779383134,209653.779383134,209653.779383134,209653.779383134,209653.779383134,209653.779383134,0.0,0.0,0.0,47115295.71549669
2010-06-04,46914208.09455132,42146905.9169389,52474003.1281957,46914208.09455132,46914208.09455132,63329.295545099114,63329.295545099114,63329.295545099114,63329.295545099114,63329.295545099114,63329.295545099114,0.0,0.0,0.0,46977537.39009642
2010-06-11,46922774.25298906,42506302.86823644,51886223.819433495,46922774.25298906,46922774.25298906,227842.0864956997,227842.0864956997,227842.0864956997,227842.0864956997,227842.0864956997,227842.0864956997,0.0,0.0,0.0,47150616.33948476
2010-06-18,46931340.41005799,42684698.92229219,52940782.80017446,46931340.41005799,46931340.41005799,828118.6790331318,828118.6790331318,828118.6790331318,828118.6790331318,828118.6790331318,828118.6790331318,0.0,0.0,0.0,47759459.08909112
2010-06-25,46939906.56712694,42958454.047922306,52624889.28231682,46939906.56712694,46939906.56712694,1059589.2082290505,1059589.2082290505,1059589.2082290505,1059589.2082290505,1059589.2082290505,1059589.2082290505,0.0,0.0,0.0,47999495.77535599
2010-07-02,46948472.72419587,42500660.84346049,51876141.48621598,46948472.72419587,46948472.72419587,340868.13355078717,340868.13355078717,340868.13355078717,340868.13355078717,340868.13355078717,340868.13355078717,0.0,0.0,0.0,47289340.85774665
2010-07-09,46957038.881264806,41327479.02224655,51090805.9298325,46957038.881264806,46957038.881264806,-838712.5739307201,-838712.5739307201,-838712.5739307201,-838712.5739307201,-838712.5739307201,-838712.5739307201,0.0,0.0,0.0,46118326.30733409
2010-07-16,46965605.05361802,40633775.16638657,50148978.5908738,46965605.05361802,46965605.05361802,-1513694.5120269945,-1513694.5120269945,-1513694.5120269945,-1513694.5120269945,-1513694.5120269945,-1513694.5120269945,0.0,0.0,0.0,45451910.541591026
2010-07-23,46974171.225971244,40907318.129012905,50480762.42978794,46974171.225971244,46974171.225971244,-1418164.3009060877,-1418164.3009060877,-1418164.3009060877,-1418164.3009060877,-1418164.3009060877,-1418164.3009060877,0.0,0.0,0.0,45556006.92506516
2010-07-30,46982737.39832445,40871484.15265683,50843924.29801605,46982737.39832445,46982737.39832445,-1135862.7052690892,-1135862.7052690892,-1135862.7052690892,-1135862.7052690892,-1135862.7052690892,-1135862.7052690892,0.0,0.0,0.0,45846874.69305536
2010-08-06,46991303.570999846,40556072.51380043,50518969.45129762,46991303.570999846,46991303.570999846,-1105765.1923944412,-1105765.1923944412,-1105765.1923944412,-1105765.1923944412,-1105765.1923944412,-1105765.1923944412,0.0,0.0,0.0,45885538.3786054
2010-08-13,46999869.74367525,41182755.60582823,50904382.640929356,46999869.74367525,46999869.74367525,-987017.388757481,-987017.388757481,-987017.388757481,-987017.388757481,-987017.388757481,-987017.388757481,0.0,0.0,0.0,46012852.354917765
